Dimensione Matrice (NxN) ; Tempo di Esecuzione (sec)
250;0.032430
250;0.021262
500;0.104312
500;0.099039
750;0.332538
750;0.330756
1000;0.780693
1000;0.780763
1250;1.527462
1250;1.526833
1500;2.626994
1500;2.623837
1750;4.159626
1750;4.166184
2000;6.259026
2000;6.256857
2250;8.909243
2250;8.947866
2500;12.243341
2500;12.197094
2750;16.217894
2750;16.177907
3000;21.043369
3000;21.029351
3250;26.738851
3250;26.750299
3500;33.390006
3500;33.402515
3750;41.094382
3750;41.041285
4000;49.908544
4000;49.925056
4250;59.805151
4250;59.827218
4500;71.121044
4500;71.226702
4750;83.550879
4750;83.517831
5000;97.386337
5000;97.373061
5250;112.813859
5250;112.757975
5500;129.691513
5500;129.731020
5750;148.304497
5750;148.141830
6000;168.288874
6000;168.533085
6250;190.059888
6250;190.356406
6500;214.133415
6500;214.333468
6750;461.650745
6750;238.779573
7000;357.134017
7000;266.921644
7250;298.141310
7250;297.806712
7500;329.468384
7500;329.088235
7750;363.292196
7750;363.030272
8000;399.573912
8000;399.637372
8250;437.960925
8250;437.880919
8500;478.913561
8500;479.497370
8750;523.747747
8750;522.835901
9000;569.023772
9000;568.667439
9250;618.482787
9250;618.015544
9500;669.958460
9500;669.455835
9750;723.153862
9750;727.369372
10000;788.214620
10000;790.453267
