Dimensione Matrice (NxN) ; Tempo di Esecuzione (sec) ; Processi MPI ; Threads OpenMP
250;0.026399;1;8
250;0.016666;1;8
500;0.058037;1;8
500;0.057211;1;8
750;0.152975;1;8
750;0.152126;1;8
1000;0.307433;1;8
1000;0.306711;1;8
1250;0.531252;1;8
1250;0.552593;1;8
1500;0.894707;1;8
1500;0.942491;1;8
1750;1.655226;1;8
1750;1.496317;1;8
2000;1.923192;1;8
2000;1.917875;1;8
2250;2.624617;1;8
2250;2.828495;1;8
2500;3.461313;1;8
2500;3.443548;1;8
2750;4.560163;1;8
2750;4.755979;1;8
3000;6.013183;1;8
3000;6.125314;1;8
3250;7.379692;1;8
3250;7.109607;1;8
3500;9.106009;1;8
3500;9.173594;1;8
3750;11.193782;1;8
3750;10.809793;1;8
4000;13.307139;1;8
4000;13.566808;1;8
4250;16.486250;1;8
4250;16.171125;1;8
4500;18.482028;1;8
4500;18.262155;1;8
4750;21.873349;1;8
4750;21.816204;1;8
5000;24.937308;1;8
5000;24.850527;1;8
5250;28.704116;1;8
5250;29.299427;1;8
5500;33.289811;1;8
5500;32.639107;1;8
5750;36.917017;1;8
5750;36.917432;1;8
6000;41.940730;1;8
6000;41.955760;1;8
6250;47.771790;1;8
6250;47.938213;1;8
6500;53.997393;1;8
6500;53.894188;1;8
6750;60.058329;1;8
6750;60.362342;1;8
7000;67.514307;1;8
7000;67.294803;1;8
7250;74.489561;1;8
7250;74.163441;1;8
7500;82.188217;1;8
7500;82.110421;1;8
7750;91.073585;1;8
7750;93.129688;1;8
8000;100.135898;1;8
8000;100.002084;1;8
8250;109.008026;1;8
8250;108.764109;1;8
8500;119.207234;1;8
8500;112.595432;1;8
8750;129.037221;1;8
8750;130.142132;1;8
9000;141.088445;1;8
9000;142.240122;1;8
9250;152.635108;1;8
9250;153.339922;1;8
9500;167.027105;1;8
9500;165.051954;1;8
9750;176.334269;1;8
9750;178.477192;1;8
10000;194.241691;1;8
10000;194.180889;1;8
250 ; 0.026923 ; 1 ; 6
250 ; 0.015568 ; 1 ; 6
500 ; 0.079366 ; 1 ; 6
500 ; 0.062498 ; 1 ; 6
750 ; 0.167015 ; 1 ; 6
750 ; 0.167294 ; 1 ; 6
1000 ; 0.342320 ; 1 ; 6
1000 ; 0.373014 ; 1 ; 6
1250 ; 0.627975 ; 1 ; 6
1250 ; 0.620773 ; 1 ; 6
1500 ; 1.009031 ; 1 ; 6
1500 ; 1.023351 ; 1 ; 6
1750 ; 1.563472 ; 1 ; 6
1750 ; 1.524531 ; 1 ; 6
2000 ; 2.225876 ; 1 ; 6
2000 ; 2.197490 ; 1 ; 6
2250 ; 3.089119 ; 1 ; 6
2250 ; 3.055459 ; 1 ; 6
2500 ; 4.133987 ; 1 ; 6
2500 ; 4.197751 ; 1 ; 6
2750 ; 5.531396 ; 1 ; 6
2750 ; 5.512422 ; 1 ; 6
3000 ; 7.254014 ; 1 ; 6
3000 ; 7.193172 ; 1 ; 6
3250 ; 8.863732 ; 1 ; 6
3250 ; 8.803329 ; 1 ; 6
3500 ; 10.962488 ; 1 ; 6
3500 ; 10.947328 ; 1 ; 6
3750 ; 13.406310 ; 1 ; 6
3750 ; 13.404715 ; 1 ; 6
4000 ; 16.214355 ; 1 ; 6
4000 ; 16.271889 ; 1 ; 6
4250 ; 19.737789 ; 1 ; 6
4250 ; 19.515454 ; 1 ; 6
4500 ; 22.922433 ; 1 ; 6
4500 ; 23.018817 ; 1 ; 6
4750 ; 26.962037 ; 1 ; 6
4750 ; 26.968510 ; 1 ; 6
5000 ; 31.269125 ; 1 ; 6
5000 ; 31.252397 ; 1 ; 6
5250 ; 35.911924 ; 1 ; 6
5250 ; 35.896524 ; 1 ; 6
5500 ; 40.852696 ; 1 ; 6
5500 ; 40.917454 ; 1 ; 6
5750 ; 46.290885 ; 1 ; 6
5750 ; 46.303309 ; 1 ; 6
6000 ; 52.237325 ; 1 ; 6
6000 ; 52.429937 ; 1 ; 6
6250 ; 58.680082 ; 1 ; 6
6250 ; 57.928728 ; 1 ; 6
6500 ; 64.324190 ; 1 ; 6
6500 ; 64.738863 ; 1 ; 6
